,DATE,TIME OF START,TIME (#HOURS),LOCATION,# OF FRIENDS,MUSIC (GENRE),CAFFEINE LEVEL (1-5),PRODUCTIVITY RATING (1-5),
,04-21,16:00,3.5,Library ,1,Study,2,3,
,04-22,17:10,2,Library ,1,None,2,5,
,04-22,20:00,1,Library ,0,None,1,5,
,04-28,2:35 PM,2.5,Home,0,Hip hop,2,2,
,04-28,18:30,1.2,Cafe ,1,R&B,1,3,
,04-29,3:30 PM,2,Home,0,R&B,2,4,
,04-30,11:00,2,Home,0,None,1,4,
,04-30,22:00,2.5,Home,0,None,1,5,
,05-05,11:20 AM,1.6,Home,0,Study ,1,4,
,05-09,4:30 PM,2.25,Home,0,Alternative,1,3,
,05-12,8:15 PM,2,Home,0,Alternative,1,5,
,05-13,7:20 PM,1.25,Home,0,Hip hop,2,5,
,05-13,9:00 PM,1.5,Home,3,None,1,3,
,05-14,10:30 AM,1.75,Home,1,None,2,5,
,05-14,18:00,0.75,Arbor,0,Hip hop,3,5,
,05-14,19:15,1.5,Home,2,None,2,5,
,05-18,17:00,1.25,Home,1,None,2,3,
,05-19,15:30,2,UCen,0,Hip hop,2,5,
,05-20,15:20,2,SRB,0,Hip hop,3,5,
,05-20,6:20 PM,0.75,Home,2,Hip hop,2,5,
,05-20,20:35,2,Home,0,Hip hop,1,4,
,05-21,18:30,2,Home,3,None,1,4,
,05-22,13:00,1.25,Amtrak,0,R&B,1,5,
,05-24,14:45,0.5,Boyfriend's house,1,None,1,3,
,05-25,5:45 PM,1,Home,1,None,2,5,
,05-26,4:05 PM,2,UCen,1,Hip hop,2,5,
,05-26,18:30,0.5,UCen,1,None,1,4,
,05-27,3:30 PM,0.75,SRB,1,Hip hop,3,3,
,05-27,18:30,2,Cafe ,0,None,2,4,
,05-28,2:00 PM,1.5,Library ,0,Alternative,3,5,
,05-28,6:30 PM,1.75,Home,0,None,1,5,
,05-28,20:40,0.5,Home,0,None,1,5,
,05-29,6:40 PM,1.25,Home,0,None,1,5,
,05-30,9:20 AM,1,Home,0,None,1,3, 
,05-31,5:15 PM,0.75,Library ,1,Study,2,5,
,05-31,18:00,1.75,Library ,1,Pop,2,4,
,05-31,8:40 PM,,Library ,1,Hip hop,1,4,
,06-01,6:30 PM,3.5,Cafe ,1,Hip hop,2,5,
